"";"data_coleta_dados";"comite";"comite_numero";"nome_reuniao";"data_reuniao";"data_postagem";"url_link";"numero_link";"formato_link"
"542";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0009.jpg";"ata_9";".jpg"
"543";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0010.jpg";"ata_10";".jpg"
"544";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0011.jpg";"ata_11";".jpg"
"545";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0012.jpg";"ata_12";".jpg"
"546";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0013.jpg";"ata_13";".jpg"
"547";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0014.jpg";"ata_14";".jpg"
"548";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0015.jpg";"ata_15";".jpg"
"549";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0016.jpg";"ata_16";".jpg"
"550";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0017.jpg";"ata_17";".jpg"
"551";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0018.jpg";"ata_18";".jpg"
"552";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0019.jpg";"ata_19";".jpg"
"553";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0020.jpg";"ata_20";".jpg"
"554";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0021.jpg";"ata_21";".jpg"
"555";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0022.jpg";"ata_22";".jpg"
"556";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0023.jpg";"ata_23";".jpg"
"557";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0024.jpg";"ata_24";".jpg"
"558";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0025.jpg";"ata_25";".jpg"
"559";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/digitalizar0026.jpg";"ata_26";".jpg"
"560";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/doc14-0.pdf";"ata_27";".pdf"
"561";2020-10-12;"Mogi-Guaçu";9;"ATA DA 14ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-11-09;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1023/doc14.pdf";"ata_28";".pdf"
"562";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0001.jpg";"ata_1";".jpg"
"563";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0002.jpg";"ata_2";".jpg"
"564";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0003.jpg";"ata_3";".jpg"
"565";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0004.jpg";"ata_4";".jpg"
"566";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0005.jpg";"ata_5";".jpg"
"567";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0006.jpg";"ata_6";".jpg"
"568";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0007.jpg";"ata_7";".jpg"
"569";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0008.jpg";"ata_8";".jpg"
"570";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0009.jpg";"ata_9";".jpg"
"571";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0010.jpg";"ata_10";".jpg"
"572";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0011.jpg";"ata_11";".jpg"
"573";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0012.jpg";"ata_12";".jpg"
"574";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0013.jpg";"ata_13";".jpg"
"575";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/digitalizar0014.jpg";"ata_14";".jpg"
"576";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/doc13-0.pdf";"ata_15";".pdf"
"577";2020-10-12;"Mogi-Guaçu";9;"ATA DA 13ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-08-24;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1022/doc13.pdf";"ata_16";".pdf"
"578";2020-10-12;"Mogi-Guaçu";9;"ATA DA 12ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-05-25;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1021/digitalizar0001.jpg";"ata_1";".jpg"
"579";2020-10-12;"Mogi-Guaçu";9;"ATA DA 12ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-05-25;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1021/digitalizar0002.jpg";"ata_2";".jpg"
"580";2020-10-12;"Mogi-Guaçu";9;"ATA DA 12ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-05-25;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1021/digitalizar0003.jpg";"ata_3";".jpg"
"581";2020-10-12;"Mogi-Guaçu";9;"ATA DA 12ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-05-25;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1021/digitalizar0004.jpg";"ata_4";".jpg"
"582";2020-10-12;"Mogi-Guaçu";9;"ATA DA 12ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-05-25;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1021/digitalizar0005.jpg";"ata_5";".jpg"
"583";2020-10-12;"Mogi-Guaçu";9;"ATA DA 12ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-05-25;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1021/digitalizar0006.jpg";"ata_6";".jpg"
"584";2020-10-12;"Mogi-Guaçu";9;"ATA DA 12ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-05-25;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1021/digitalizar0007.jpg";"ata_7";".jpg"
"585";2020-10-12;"Mogi-Guaçu";9;"ATA DA 12ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-05-25;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1021/digitalizar0008.jpg";"ata_8";".jpg"
"586";2020-10-12;"Mogi-Guaçu";9;"ATA DA 12ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-05-25;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1021/doc12-0.pdf";"ata_9";".pdf"
"587";2020-10-12;"Mogi-Guaçu";9;"ATA DA 12ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2001";2001-05-25;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1021/doc12.pdf";"ata_10";".pdf"
"588";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 2001";2001-03-30;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1006/doc10-0.pdf";"ata_1";".pdf"
"589";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 2001";2001-03-30;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1006/doc10.pdf";"ata_2";".pdf"
"590";2020-10-12;"Mogi-Guaçu";9;"ATA DA 9ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 2000";2000-06-16;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1005/doc9-0.pdf";"ata_1";".pdf"
"591";2020-10-12;"Mogi-Guaçu";9;"ATA DA 9ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 2000";2000-06-16;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1005/doc9.pdf";"ata_2";".pdf"
"592";2020-10-12;"Mogi-Guaçu";9;"ATA DA 8ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 2000";2000-05-05;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1004/doc8-0.pdf";"ata_1";".pdf"
"593";2020-10-12;"Mogi-Guaçu";9;"ATA DA 8ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 2000";2000-05-05;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1004/doc8.pdf";"ata_2";".pdf"
"594";2020-10-12;"Mogi-Guaçu";9;"ATA DA 7ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 2000";2000-03-17;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1003/doc7-0.pdf";"ata_1";".pdf"
"595";2020-10-12;"Mogi-Guaçu";9;"ATA DA 7ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 2000";2000-03-17;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1003/doc7.pdf";"ata_2";".pdf"
"596";2020-10-12;"Mogi-Guaçu";9;"ATA DA 11ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2000";2000-02-04;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1020/digitalizar0001.jpg";"ata_1";".jpg"
"597";2020-10-12;"Mogi-Guaçu";9;"ATA DA 11ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2000";2000-02-04;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1020/digitalizar0002.jpg";"ata_2";".jpg"
"598";2020-10-12;"Mogi-Guaçu";9;"ATA DA 11ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2000";2000-02-04;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1020/digitalizar0003.jpg";"ata_3";".jpg"
"599";2020-10-12;"Mogi-Guaçu";9;"ATA DA 11ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2000";2000-02-04;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1020/digitalizar0004.jpg";"ata_4";".jpg"
"600";2020-10-12;"Mogi-Guaçu";9;"ATA DA 11ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2000";2000-02-04;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1020/digitalizar0005.jpg";"ata_5";".jpg"
"601";2020-10-12;"Mogi-Guaçu";9;"ATA DA 11ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2000";2000-02-04;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1020/digitalizar0006.jpg";"ata_6";".jpg"
"602";2020-10-12;"Mogi-Guaçu";9;"ATA DA 11ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2000";2000-02-04;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1020/digitalizar0007.jpg";"ata_7";".jpg"
"603";2020-10-12;"Mogi-Guaçu";9;"ATA DA 11ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2000";2000-02-04;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1020/doc11-0.pdf";"ata_8";".pdf"
"604";2020-10-12;"Mogi-Guaçu";9;"ATA DA 11ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 2000";2000-02-04;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1020/doc11.pdf";"ata_9";".pdf"
"605";2020-10-12;"Mogi-Guaçu";9;"ATA DA 6ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 1999";1999-11-26;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1002/doc6-0.pdf";"ata_1";".pdf"
"606";2020-10-12;"Mogi-Guaçu";9;"ATA DA 6ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 1999";1999-11-26;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1002/doc6.pdf";"ata_2";".pdf"
"607";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-08-27;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1019/digitalizar0001.jpg";"ata_1";".jpg"
"608";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-08-27;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1019/digitalizar0002.jpg";"ata_2";".jpg"
"609";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-08-27;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1019/digitalizar0003.jpg";"ata_3";".jpg"
"610";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-08-27;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1019/digitalizar0004.jpg";"ata_4";".jpg"
"611";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-08-27;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1019/digitalizar0005.jpg";"ata_5";".jpg"
"612";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-08-27;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1019/digitalizar0006.jpg";"ata_6";".jpg"
"613";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-08-27;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1019/digitalizar0007.jpg";"ata_7";".jpg"
"614";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-08-27;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1019/doc10-0.pdf";"ata_8";".pdf"
"615";2020-10-12;"Mogi-Guaçu";9;"ATA DA 10ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-08-27;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1019/doc10.pdf";"ata_9";".pdf"
"616";2020-10-12;"Mogi-Guaçu";9;"ATA DA 5ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 1999";1999-06-25;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1001/doc5-0.pdf";"ata_1";".pdf"
"617";2020-10-12;"Mogi-Guaçu";9;"ATA DA 5ª REUNIÃO EXTRAORDINÁRIA DO CBH-MOGI - 1999";1999-06-25;2008-11-28;"http://www.sigrh.sp.gov.br/public/uploads/records/1001/doc5.pdf";"ata_2";".pdf"
"618";2020-10-12;"Mogi-Guaçu";9;"ATA DA 9ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-03-26;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1018/digitalizar0001.jpg";"ata_1";".jpg"
"619";2020-10-12;"Mogi-Guaçu";9;"ATA DA 9ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-03-26;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1018/digitalizar0002.jpg";"ata_2";".jpg"
"620";2020-10-12;"Mogi-Guaçu";9;"ATA DA 9ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-03-26;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1018/digitalizar0003.jpg";"ata_3";".jpg"
"621";2020-10-12;"Mogi-Guaçu";9;"ATA DA 9ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-03-26;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1018/digitalizar0004.jpg";"ata_4";".jpg"
"622";2020-10-12;"Mogi-Guaçu";9;"ATA DA 9ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-03-26;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1018/digitalizar0005.jpg";"ata_5";".jpg"
"623";2020-10-12;"Mogi-Guaçu";9;"ATA DA 9ª REUNIÃO ORDINÁRIA DO CBH-MOGI - 1999";1999-03-26;2008-12-03;"http://www.sigrh.sp.gov.br/public/uploads/records/1018/digitalizar0006.jpg";"ata_6";".jpg"
