"";"data_coleta_dados";"site_coleta";"comite";"n_ugrhi";"nome_reuniao";"data_reuniao";"data_postagem";"numero_link";"url_link"
"1521";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 2002 do CBH-TB";2002-03-01;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/157/ata-1-ordinaria-2002-0.htm"
"1522";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 2002 do CBH-TB";2002-03-01;2003-07-24;"ata_2";"http://www.sigrh.sp.gov.br/public/uploads/records/157/ata-1-ordinaria-2002.htm"
"1523";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 4ª Reunião Extraordinária de 2001 do CBH-TB";2001-08-09;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/191/ata-4-extraordinaria-2001-0.htm"
"1524";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 4ª Reunião Extraordinária de 2001 do CBH-TB";2001-08-09;2003-07-24;"ata_2";"http://www.sigrh.sp.gov.br/public/uploads/records/191/ata-4-extraordinaria-2001.htm"
"1525";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 3ª Reunião Extraordinária de 2001 do CBH-TB";2001-05-11;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/184/ata-3-extraordinaria-2001-0.htm"
"1526";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 3ª Reunião Extraordinária de 2001 do CBH-TB";2001-05-11;2003-07-24;"ata_2";"http://www.sigrh.sp.gov.br/public/uploads/records/184/ata-3-extraordinaria-2001.htm"
"1527";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 2ª Reunião Extraordinária de 2001 do CBH-TB";2001-03-16;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/169/ata-2-extraordinaria-2001-0.htm"
"1528";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 2ª Reunião Extraordinária de 2001 do CBH-TB";2001-03-16;2003-07-24;"ata_2";"http://www.sigrh.sp.gov.br/public/uploads/records/169/ata-2-extraordinaria-2001.htm"
"1529";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Extraordinária de 2001 do CBH-TB";2001-03-05;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/149/ata-1-extraordinaria-2001.htm"
"1530";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 2001 do CBH-TB";2001-02-02;2003-07-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/156/ata-1-ordinaria-2001-0.htm"
